Match Id,Match,Bowling_team,Bowler_name,Overs,Maiden,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls
T20I # 2729,India vs South-Africa-Final-1415755,India,Marco Jansen,4,0,49,1,12.25,4,5,2,1,1
T20I # 2729,India vs South-Africa-Final-1415755,India,Keshav Maharaj,3,0,23,2,7.66,10,3,1,0,0
T20I # 2729,India vs South-Africa-Final-1415755,India,Kagiso Rabada,4,0,36,1,9,8,2,2,2,0
T20I # 2729,India vs South-Africa-Final-1415755,India,Aiden Markram,2,0,16,0,8,1,0,1,0,0
T20I # 2729,India vs South-Africa-Final-1415755,India,Anrich Nortje,4,0,26,2,6.5,7,2,0,2,0
T20I # 2729,India vs South-Africa-Final-1415755,India,Tabraiz Shamsi,3,0,26,0,8.66,4,1,1,1,0
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Arshdeep Singh,4,0,20,2,5,12,2,0,0,0
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Jasprit Bumrah,4,0,18,2,4.5,14,2,0,0,0
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Axar Patel,4,0,49,1,12.25,8,5,3,2,0
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Kuldeep Yadav,4,0,45,0,11.25,6,3,3,0,0
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Hardik Pandya,3,0,20,3,6.66,9,1,1,1,1
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Ravindra Jadeja,1,0,12,0,12,0,0,1,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Reece Topley,3,0,25,1,8.33,8,3,1,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Jofra Archer,4,0,33,1,8.25,7,4,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Sam Curran,2,0,25,1,12.5,3,2,2,0,0
