Match Id,Match Name,Team_Inning,BatsmanName,Batting Pos,Out By,Not Out / Out,Runs,Balls,4s,6s,SR(strike rate)
T20I # 2729,India vs South-Africa-Final-1415755,India,Rohit Sharma (c),1,c Klaasen b Maharaj,Out,9,5,2,0,180
T20I # 2729,India vs South-Africa-Final-1415755,India,Virat Kohli,2,c Rabada b Jansen,Out,76,59,6,2,128.81
T20I # 2729,India vs South-Africa-Final-1415755,India,Rishabh Pant ,3,c de Kock b Maharaj,Out,0,2,0,0,0
T20I # 2729,India vs South-Africa-Final-1415755,India,Suryakumar Yadav,4,c Klaasen b Rabada,Out,3,4,0,0,75
T20I # 2729,India vs South-Africa-Final-1415755,India,Axar Patel,5,run out (de Kock),Out,47,31,1,4,151.61
T20I # 2729,India vs South-Africa-Final-1415755,India,Shivam Dube,6,c Miller b Nortje,Out,27,16,3,1,168.75
T20I # 2729,India vs South-Africa-Final-1415755,India,Hardik Pandya,7,not out,Not_Out,5,2,1,0,250
T20I # 2729,India vs South-Africa-Final-1415755,India,Ravindra Jadeja,8,c Maharaj b Nortje,Out,2,2,0,0,100
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Reeza Hendricks,1,b Bumrah,Out,4,5,1,0,80
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Quinton de Kock ,2,c Kuldeep Yadav b Arshdeep Singh,Out,39,31,4,1,125.8
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Aiden Markram (c),3,c Pant b Arshdeep Singh,Out,4,5,1,0,80
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Tristan Stubbs,4,b Patel,Out,31,21,3,1,147.61
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Heinrich Klaasen,5,c Pant b Pandya,Out,52,27,2,5,192.59
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,David Miller,6,c Yadav b Pandya,Out,21,17,1,1,123.52
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Marco Jansen,7,b Bumrah,Out,2,4,0,0,50
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Keshav Maharaj,8,not out,Not_Out,2,7,0,0,28.57
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Kagiso Rabada,9,c Yadav b Pandya,Out,4,3,1,0,133.33
T20I # 2729,India vs South-Africa-Final-1415755,South Africa,Anrich Nortje,10,not out,Not_Out,1,1,0,0,100
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Rohit Sharma (c),1,b Rashid,Out,57,39,6,2,146.15
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Virat Kohli,2,b Topley,Out,9,9,0,1,100
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Rishabh Pant ,3,c Bairstow b Curran,Out,4,6,0,0,66.66
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Suryakumar Yadav,4,c Jordan b Archer,Out,47,36,4,2,130.55
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Hardik Pandya,5,c Curran b Jordan,Out,23,13,1,2,176.92
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Ravindra Jadeja,6,not out,Not_Out,17,9,2,0,188.88
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Shivam Dube,7,c Buttler b Jordan,Out,0,1,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Axar Patel,8,c Salt b Jordan,Out,10,6,0,1,166.66
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,India,Arshdeep Singh,9,not out,Not_Out,1,1,0,0,100
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Phil Salt,1,b Bumrah,Out,5,8,0,0,62.5
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Jos Buttler (c),2,c Pant b Patel,Out,23,15,4,0,153.33
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Moeen Ali,3,st Pant b Patel,Out,8,10,0,0,80
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Jonny Bairstow,4,b Patel,Out,0,3,0,0,0
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Harry Brook,5,b Kuldeep Yadav,Out,25,19,3,0,131.57
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Sam Curran,6,lbw b Kuldeep Yadav,Out,2,4,0,0,50
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Liam Livingstone,7,run out (Kuldeep Yadav/Patel),Out,11,16,0,0,68.75
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Chris Jordan,8,lbw b Kuldeep Yadav,Out,1,5,0,0,20
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Jofra Archer,9,lbw b Bumrah,Out,21,15,1,2,140
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Adil Rashid,10,run out (Yadav),Out,2,2,0,0,100
T20I # 2724,England vs India-2Nd-Semi-Final-1415754,England,Reece Topley,11,not out,Not_Out,3,3,0,0,100
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Rahmanullah Gurbaz ,1,c Hendricks b Jansen,Out,0,3,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Ibrahim Zadran,2,b Rabada,Out,2,5,0,0,40
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Gulbadin Naib,3,b Jansen,Out,9,8,2,0,112.5
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Azmatullah Omarzai,4,c Stubbs b Nortje,Out,10,12,2,0,83.33
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Mohammad Nabi,5,b Rabada,Out,0,3,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Nangeyalia Kharote,6,c de Kock b Jansen,Out,2,7,0,0,28.57
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Karim Janat,7,lbw b Shamsi,Out,8,13,1,0,61.53
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Rashid Khan (c),8,b Nortje,Out,8,8,2,0,100
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Noor Ahmad,9,lbw b Shamsi,Out,0,2,0,0,0
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Naveen-ul-Haq,10,lbw b Shamsi,Out,2,8,0,0,25
T20I # 2723,Afghanistan vs South-Africa-1St-Semi-Final-1415753,Afghanistan,Fazalhaq Farooqi,11,not out,Not_Out,2,2,0,0,100
